Player Id,Year,Rushing TDs,Rushing Yards,Rushing Attempts,Fumbles,Team
2533437,2016,0,81,23,0,SD
2533437,2016,0,50,18,0,MIN
2533437,2015,7,863,207,2,DEN
2533437,2014,3,434,106,1,DEN
2533437,2013,1,218,55,2,DEN
2540160,2013,0,18,1,0,WAS
497288,2013,0,15,5,0,LV
2540020,2016,1,357,92,0,DET
2540020,2015,0,133,43,1,DET
2540020,2014,0,51,20,0,DET
2540020,2013,1,25,9,0,DET
2554138,2015,0,5,1,0,SEA
2501863,2015,0,-6,6,0,DEN
2501863,2014,0,-24,24,3,DEN
2501863,2013,1,-31,32,5,DEN
2552469,2016,10,997,254,2,SD
2552469,2015,0,641,184,5,SD
2540005,2013,0,-2,1,0,BAL
2550400,2016,0,5,2,0,DAL
2540237,2015,0,-6,1,0,MIN
2532797,2016,0,4,1,0,NE
2532797,2015,0,207,63,0,NE
2532797,2014,1,89,28,0,NE
2532797,2013,3,271,55,0,NE
2506472,2013,0,-5,1,0,LA
2539228,2016,0,22,8,1,BUF
2539228,2015,1,64,17,0,BUF
2539228,2014,1,52,16,0,BUF
2539228,2013,2,186,53,3,BUF
2507248,2013,0,0,1,1,MIA
2543457,2015,0,1,1,0,BUF
2543457,2014,0,8,2,0,BUF
2495207,2016,9,1287,293,3,TEN
2495207,2015,6,702,193,2,PHI
2495207,2014,13,1845,392,3,DAL
2495207,2013,9,1121,217,2,DAL
2539964,2014,0,8,3,0,BUF
2539964,2013,0,13,3,0,BUF
2507629,2013,0,1,1,0,ATL
2532956,2016,1,164,39,4,MIA
2532956,2015,1,141,32,2,MIA
2532956,2014,1,311,56,4,MIA
2532956,2013,1,238,40,3,MIA
2507141,2015,0,52,11,0,WAS
2507141,2015,0,12,4,0,SF
2507141,2014,2,222,45,0,NO
2507141,2013,2,549,147,0,NO
2553617,2016,1,28,9,0,PHI
2534871,2015,0,32,8,0,SEA
2534871,2013,0,3,2,0,SEA
2495455,2016,5,359,90,1,CAR
2495455,2015,10,636,132,4,CAR
2495455,2014,5,539,103,3,CAR
2495455,2013,6,585,111,1,CAR
2542022,2016,0,22,8,1,NYJ
2542022,2015,4,180,56,0,NO
2542022,2014,3,362,76,1,NO
2542022,2013,1,224,54,0,NO
2555316,2016,0,25,11,0,DEN
497110,2013,0,0,1,0,CLE
2525323,2014,0,48,1,0,MIN
2556805,2016,0,43,6,1,LV
1062,2016,0,10,2,0,NE
2534571,2016,0,63,17,0,NYG
2534571,2015,0,18,5,1,TB
2534571,2014,1,406,94,1,TB
2534571,2013,5,532,137,1,TB
2534571,2013,0,34,13,0,CLE
2553650,2016,1,164,32,0,JAX
2553650,2015,0,2,6,1,JAX
2495143,2016,4,184,46,5,CIN
2495143,2015,3,142,57,3,CIN
2495143,2014,4,169,60,2,CIN
2495143,2013,2,183,61,1,CIN
2506895,2016,0,-1,2,0,SD
2506895,2015,0,-1,1,0,SD
2506895,2013,0,64,23,2,LA
2539663,2016,8,577,101,0,BUF
2539663,2015,3,267,47,1,BUF
2539663,2013,0,21,6,0,MIA
1037347,2015,0,-1,1,0,CAR
2541544,2016,0,101,21,1,LA
2541544,2015,0,140,37,1,LA
2541544,2014,3,246,66,0,LA
2541544,2013,1,261,47,2,LA
2495340,2015,0,0,1,0,KC
2495340,2014,0,8,2,0,KC
2495340,2013,0,3,2,0,KC
2543682,2015,1,193,47,1,TEN
2543682,2014,2,569,152,2,TEN
2346,2013,0,19,2,0,WAS
2542246,2016,0,16,1,1,BUF
2542246,2015,0,0,1,1,BUF
2540168,2016,0,360,71,0,GB
2540168,2015,3,758,187,3,GB
2540168,2014,9,1139,246,3,GB
2540168,2013,11,1178,284,1,GB
2539322,2016,1,114,31,0,GB
2539322,2016,6,469,117,1,SEA
2539322,2015,0,192,39,0,SEA
2539322,2015,0,51,15,0,DAL
2539322,2014,0,175,34,1,SEA
2539322,2013,0,79,18,0,SEA
2499249,2016,0,2,1,0,CHI
2543847,2016,0,10,1,0,ARI
2543847,2015,0,22,3,0,ARI
2543847,2014,0,-6,3,0,ARI
2543664,2016,5,774,193,2,BAL
2543664,2015,0,180,46,0,BAL
2543664,2015,0,51,16,2,TEN
2543664,2014,4,673,171,1,CLE
2539308,2016,0,2,7,2,CHI
2539308,2014,0,0,3,0,PHI
2539308,2013,0,-2,2,0,PHI
2543750,2016,1,38,2,0,GB
497188,2016,8,661,155,3,PHI
497188,2015,6,539,106,3,PHI
497188,2014,3,330,74,1,SD
497188,2013,6,1255,285,2,SD
925,2016,1,40,12,0,KC
925,2015,4,364,71,2,KC
925,2014,9,1033,206,4,KC
925,2013,12,1287,259,4,KC
2550542,2016,0,129,29,0,DEN
2553457,2016,0,57,28,1,DEN
2553457,2015,0,-1,1,0,DEN
79629,2016,0,15,6,0,CIN
79629,2014,0,43,15,1,CIN
79629,2013,0,17,8,0,CIN
2552382,2016,0,39,18,1,LA
2552382,2015,0,17,4,0,LA
2532888,2016,1,51,20,0,LA
2532888,2015,0,5,12,2,LA
